806,86,1,,1,1,,35210677,1982,0,,,3,,3,,,,,,3,,,,,,3,,3,3,-1,-1,-1,0,0,-1,0,0,0,0,2,-1,8,3,10000,-1,04,,,1,,-1,,-1,,-1,,99,92,20,20,20,20,20,20,20,,,,,,3,2,2011,-1,,,,,-1,-1,,,-1,,,,,-1,,-1,
762,765,2,,1,1,,35210111,1928,,,,2,2,2,3,3,,,3,3,2,2,,,,1,,13,11,-1,-1,-1,0,0,-1,0,0,0,0,1,-1,9,6,2400,0,,0,,1, ,-1,-1,-1,-1,-1,-1,518,428,20,,20,20,20,20,20,20,20,20,,,10,9,2011,,,,,,-1,-1,-1,,,-1,-1,-1,,,,,
2700,2707,1,,1,1,,35210710,1950,0,,,3,1,2,1,2,,,,,1,,,,6,,,5,5,-1,-1,-1,0,0,-1,0,0,0,0,1,-1,9,4,2000,0,,,,1,,-1,,-1,,-1,,202,192,,20,20,20,20,20,20,,,,,,7,7,2011,,,,,,-1,-1,-1,,,,,,-1,-1,,,
766,769,3,,3,1,,35210184,1984,0,,,2,,,2,,,,2,8,,3,,1,,,,16,14,-1,-1,-1,-1,-1,0,0,0,0,0,2,0,,,,0,,0,,1,1,-1,-1,-1,-1,-1,-1,720,604,20,,20,20,20,20,20,20,20,20,20,20,16,4,2011,,,,,,,,,,,,,,-1,,,,
744,747,3,,2,2,,,1920,0,,,3,1,1,6,15,,,,,,,,1,,,,21,17,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2,0,,,,0,,-1,,1,1,-1,-1,-1,-1,0,-1,904,756,20,20,20,20,20,20,20,20,20,20,20,20,23,22,2011,,,,,,,,,,,,,,,,,,
764,767,3,,3,1,,35220099,1983,0,,,2,2,2,,12,1,,,,6,5,,1,,,,25,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1196,1092,,,,,,,,,,,,,17,14,2011,-1,,-1,,,,,-1,-1,-1,,,,,,-1,-1,
769,772,3,,2,1,,35220049,1927,0,,,2,,5,5,9,,,2,,14,,,,,6,,11,11,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,-1,7,7,8600,0,,0,,1,1,-1,-1,0,-1,-1,-1,617,544,,20,20,20,20,20,20,20,20,20,20,20,20,18,2011,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0
756,759,3,,1,1,,35220046,1860,0,,,2,,,20,23,2,,2,3,19,2,4,,,,,35,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,7,7,0,-1,,-1,,1,1,-1,-1,-1,-1,-1,-1,1638,1357,20,,20,20,20,20,20,20,20,20,20,20,46,46,2011,-1,,,,,,,,,,,,,,,,,
755,758,3,,3,1,,35220067,1954,0,,,2,5,1,1,20,1,,3,3,12,8,,,5,,,15,12,-1,-1,-1,-1,0,0,-1,0,-1,-1,2,-1,6,6,16299,0,,-1,06,1,1,-1,-1,-1,-1,-1,-1,762,704,20,20,20,20,20,20,20,20,20,20,20,20,27,22,2011,,,,,,,,,,,,,,,,,,
763,766,2,,1,1,,35210123,1959,0,,,2,2,2,4,7,,,2,2,8,3,,,,15,,15,12,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,9,9,21945,-1,,-1,,1,1,-1,-1,-1,-1,-1,-1,439,366,20,,20,20,20,20,20,20,20,20,,,16,14,2011,,,,,,-1,-1,-1,-1,-1,,,,-1,-1,,,
