41,225,DILGOSH,PHELAWAGH SUB-DIVISION,MALAM SUB-TEHSIL MALAM QH,KUP QALANDRI PC,KUP QALANDRI PC
42,225,KHALARA,PHELAWAGH SUB-DIVISION,MALAM SUB-TEHSIL MALAM QH,KUP QALANDRI PC,KUP QALANDRI PC
43,225,LINDERA,PHELAWAGH SUB-DIVISION,MALAM SUB-TEHSIL MALAM QH,PHELLAWAGH PC,PHELLAWAGH PC
44,225,DOI,PHELAWAGH SUB-DIVISION,PIR KOH SUB-TEHSIL-LOPE QH,LOPE PC,LOPE PC
45,225,THAL PIR KOH (A),PHELAWAGH SUB-DIVISION,PIR KOH SUB-TEHSIL-LOPE QH,LOPE PC,LOPE PC
46,225,THAL PIR KOH (B),PHELAWAGH SUB-DIVISION,PIR KOH SUB-TEHSIL-LOPE QH,LOPE PC,LOPE PC
47,225,SHANK,PHELAWAGH SUB-DIVISION,PIR KOH SUB-TEHSIL-LOPE QH,PIR KOH PC,PIR KOH PC
48,225,MOHEET,PHELAWAGH SUB-DIVISION,PIR KOH SUB-TEHSIL-LOPE QH,SAIDANI PC,SAIDANI PC
49,225,JATA MARRI,SUI SUB-DIVISION,LOTI TEHSIL-LOTI QH,LOTI PC,LOTI PC
50,225,POGANI,SUI SUB-DIVISION,LOTI TEHSIL-LOTI QH,LOTI PC,LOTI PC
51,225,GO,SUI SUB-DIVISION,SUI TEHSIL-ASREELY QH,ASREELY PC,ASREELY PC
52,225,SHADAIN,SUI SUB-DIVISION,SUI TEHSIL-ASREELY QH,ASREELY PC,ASREELY PC
53,225,MAZOI,SUI SUB-DIVISION,SUI TEHSIL-ASREELY QH,DAMAN PC,DAMAN PC
54,225,BIAMSHAHI,SUI SUB-DIVISION,SUI TEHSIL-ASREELY QH,MAT PC,MAT PC
55,225,PESH BOGI,SUI SUB-DIVISION,SUI TEHSIL-ASREELY QH,MAT PC,MAT PC
56,225,THIKKA,SUI SUB-DIVISION,SUI TEHSIL-ASREELY QH,MAT PC,MAT PC
57,225,MACHI GORANI,SUI SUB-DIVISION,SUI TEHSIL-ASREELY QH,SIGHARI PC,SIGHARI PC
58,225,TOWNSUI (A),SUI SUB-DIVISION,SUI TEHSIL-ASREELY QH,SIGHARI PC,SIGHARI PC
59,225,TOWNSUI (B),SUI SUB-DIVISION,SUI TEHSIL-ASREELY QH,SIGHARI PC,SIGHARI PC
60,225,TOWNSUI (C),SUI SUB-DIVISION,SUI TEHSIL-ASREELY QH,SIGHARI PC,SIGHARI PC
61,227,KOR YAK,,HARNAI TEHSIL-HARNAI QH,MURRI BABIAN PC,MURRI BABIAN PC
62,227,PURH,,HARNAI TEHSIL-HARNAI QH,MURRI BABIAN PC,MURRI BABIAN PC
63,227,BASTI SHEIKHAN,,HARNAI TEHSIL-HARNAI QH,SADDAR HARNAI PC,SADDAR HARNAI PC
64,227,GACHEENA,,HARNAI TEHSIL-HARNAI QH,SADDAR HARNAI PC,SADDAR HARNAI PC
65,227,ISPANI,,HARNAI TEHSIL-HARNAI QH,SADDAR HARNAI PC,SADDAR HARNAI PC
66,227,KHIDRANI,,HARNAI TEHSIL-HARNAI QH,SADDAR HARNAI PC,SADDAR HARNAI PC
67,227,KHOZRRI,,HARNAI TEHSIL-HARNAI QH,SADDAR HARNAI PC,SADDAR HARNAI PC
68,227,KILLI LAL KHAN,,HARNAI TEHSIL-HARNAI QH,SADDAR HARNAI PC,SADDAR HARNAI PC
69,227,NUSAK,,HARNAI TEHSIL-HARNAI QH,SADDAR HARNAI PC,SADDAR HARNAI PC
70,227,PIERO KACHI,,HARNAI TEHSIL-HARNAI QH,SADDAR HARNAI PC,SADDAR HARNAI PC
71,227,SHOR SHEHR,,HARNAI TEHSIL-HARNAI QH,SADDAR HARNAI PC,SADDAR HARNAI PC
72,227,WAM TUNGI,,HARNAI TEHSIL-HARNAI QH,SADDAR HARNAI PC,SADDAR HARNAI PC
73,227,ZARMANA,,HARNAI TEHSIL-HARNAI QH,SADDAR HARNAI PC,SADDAR HARNAI PC
74,227,ANBOH,,HARNAI TEHSIL-HARNAI QH,SHAHRIG PC,SHAHRIG PC
75,227,CHONGI,,HARNAI TEHSIL-HARNAI QH,SHAHRIG PC,SHAHRIG PC
76,227,DORAN TANGI,,HARNAI TEHSIL-HARNAI QH,SHAHRIG PC,SHAHRIG PC
77,227,KHOST,,HARNAI TEHSIL-HARNAI QH,SHAHRIG PC,SHAHRIG PC
78,227,MUNCIPAL SHARIGH,,HARNAI TEHSIL-HARNAI QH,SHAHRIG PC,SHAHRIG PC
79,227,PARHI,,HARNAI TEHSIL-HARNAI QH,SHAHRIG PC,SHAHRIG PC
80,227,POONGHA,,HARNAI TEHSIL-HARNAI QH,SHAHRIG PC,SHAHRIG PC
81,227,RAGHNI,,HARNAI TEHSIL-HARNAI QH,SHAHRIG PC,SHAHRIG PC
82,227,SAZOO,,HARNAI TEHSIL-HARNAI QH,SHAHRIG PC,SHAHRIG PC
83,227,SHIN LEZA,,HARNAI TEHSIL-HARNAI QH,SHAHRIG PC,SHAHRIG PC
84,227,ZARGHUN GHAR,,HARNAI TEHSIL-HARNAI QH,SHAHRIG PC,SHAHRIG PC
85,227,ZAWAR,,HARNAI TEHSIL-HARNAI QH,SHAHRIG PC,SHAHRIG PC
86,227,DUB,,HARNAI TEHSIL-HARNAI QH,VENECHI BABIHAN PC,VENECHI BABIHAN PC
87,227,SANRHI,,HARNAI TEHSIL-HARNAI QH,VENECHI BABIHAN PC,VENECHI BABIHAN PC
88,227,TUKKA,,HARNAI TEHSIL-HARNAI QH,VENECHI BABIHAN PC,VENECHI BABIHAN PC
89,227,WARIKHA KALAN,,HARNAI TEHSIL-HARNAI QH,VENECHI BABIHAN PC,VENECHI BABIHAN PC
90,227,WARIKHA KHURD,,HARNAI TEHSIL-HARNAI QH,VENECHI BABIHAN PC,VENECHI BABIHAN PC
91,228,KALAI ABAD,GANDAWA SUB-DIVISION,GANDAWA TEHSIL-SADAR  QH,GADA GHARRA PC,GADA GHARRA PC
92,228,GAJAN,GANDAWA SUB-DIVISION,GANDAWA TEHSIL-SADAR  QH,KOTRA PC,KOTRA PC
93,228,KHARI,GANDAWA SUB-DIVISION,GANDAWA TEHSIL-SADAR  QH,KOTRA PC,KOTRA PC
94,228,KONARAH,GANDAWA SUB-DIVISION,GANDAWA TEHSIL-SADAR  QH,KOTRA PC,KOTRA PC
95,228,KOTRA,GANDAWA SUB-DIVISION,GANDAWA TEHSIL-SADAR  QH,KOTRA PC,KOTRA PC
96,228,PATRI,GANDAWA SUB-DIVISION,GANDAWA TEHSIL-SADAR  QH,KOTRA PC,KOTRA PC
97,228,QAZI ISMAIL,GANDAWA SUB-DIVISION,GANDAWA TEHSIL-SADAR  QH,NOSHERA PC,NOSHERA PC
98,228,FATEH PUR,GANDAWA SUB-DIVISION,GANDAWA TEHSIL-SADAR  QH,NOSHERA PC,NOSHERA PC
99,228,MAT,GANDAWA SUB-DIVISION,MIRPUR SUB-TEHSIL-SADDAR QH,MIRPUR PC,MIRPUR PC
